,antecedents,consequents,support,confidence,lift
137,"sub_grade_B2, int_rate_bin_Low (8-12%)",grade_B,0.056,1.0,3.407
132,"int_rate_bin_Low (8-12%), sub_grade_B1",grade_B,0.055,1.0,3.407
144,"sub_grade_B3, int_rate_bin_Low (8-12%)",grade_B,0.054,1.0,3.407
150,"sub_grade_B4, int_rate_bin_Low (8-12%)",grade_B,0.053,1.0,3.407
11,sub_grade_B4,grade_B,0.062,1.0,3.407
227,"int_rate_bin_Medium (12-16%), sub_grade_C1",grade_C,0.057,1.0,3.478
19,sub_grade_C2,grade_C,0.058,1.0,3.478
24,sub_grade_C5,grade_C,0.052,1.0,3.478
6,sub_grade_B2,grade_B,0.056,1.0,3.407
234,"int_rate_bin_Medium (12-16%), sub_grade_C2",grade_C,0.058,1.0,3.478
17,sub_grade_C1,grade_C,0.065,1.0,3.478
21,sub_grade_C3,grade_C,0.057,1.0,3.478
9,sub_grade_B3,grade_B,0.058,1.0,3.407
13,sub_grade_B5,grade_B,0.062,1.0,3.407
5,sub_grade_B1,grade_B,0.055,1.0,3.407
240,"int_rate_bin_Medium (12-16%), sub_grade_C3",grade_C,0.057,1.0,3.478
23,sub_grade_C4,grade_C,0.056,1.0,3.478
1103,"last_fico_range_low_bin_High, term_ 36 months, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",grade_A,0.081,1.0,5.22
1078,"term_ 36 months, fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",grade_A,0.064,1.0,5.22
1055,"last_fico_range_low_bin_High, term_ 36 months, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",grade_A,0.058,1.0,5.22
31,sub_grade_B1,int_rate_bin_Low (8-12%),0.055,1.0,3.4
135,sub_grade_B1,"grade_B, int_rate_bin_Low (8-12%)",0.055,1.0,3.797
131,"grade_B, sub_grade_B1",int_rate_bin_Low (8-12%),0.055,1.0,3.4
425,"term_ 36 months, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",grade_A,0.111,1.0,5.22
1032,"term_ 36 months, fico_range_low_bin_High, loan_status_Fully Paid, int_rate_bin_Very Low (<8%)",grade_A,0.058,1.0,5.22
1155,"last_fico_range_low_bin_High, fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",grade_A,0.051,1.0,5.22
136,"sub_grade_B2, grade_B",int_rate_bin_Low (8-12%),0.056,1.0,3.4
32,sub_grade_B2,int_rate_bin_Low (8-12%),0.056,1.0,3.4
139,sub_grade_B2,"grade_B, int_rate_bin_Low (8-12%)",0.056,1.0,3.796
605,"last_fico_range_low_bin_High, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",grade_A,0.087,1.0,5.219
415,"last_fico_range_low_bin_High, term_ 36 months, int_rate_bin_Very Low (<8%)",grade_A,0.101,1.0,5.219
1011,"last_fico_range_low_bin_High, term_ 36 months, loan_status_Fully Paid, int_rate_bin_Very Low (<8%)",grade_A,0.055,1.0,5.219
571,"fico_range_low_bin_High, loan_status_Fully Paid, int_rate_bin_Very Low (<8%)",grade_A,0.06,1.0,5.218
593,"fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",grade_A,0.069,1.0,5.218
583,"last_fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",grade_A,0.062,1.0,5.218
522,"fico_range_low_bin_High, dti_bin_Low (10-20), int_rate_bin_Very Low (<8%)",grade_A,0.053,1.0,5.218
85,"fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",grade_A,0.118,0.999,5.218
533,"last_fico_range_low_bin_High, loan_status_Current, int_rate_bin_Very Low (<8%)",grade_A,0.05,0.999,5.218
543,"fico_range_low_bin_High, loan_status_Current, int_rate_bin_Very Low (<8%)",grade_A,0.055,0.999,5.218
81,"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",grade_A,0.108,0.999,5.217
399,"term_ 36 months, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",grade_A,0.089,0.999,5.217
453,"installment_bin_High, term_ 36 months, int_rate_bin_Very Low (<8%)",grade_A,0.05,0.999,5.217
563,"last_fico_range_low_bin_High, loan_status_Fully Paid, int_rate_bin_Very Low (<8%)",grade_A,0.057,0.999,5.217
383,"term_ 36 months, loan_status_Current, int_rate_bin_Very Low (<8%)",grade_A,0.07,0.999,5.217
375,"term_ 36 months, dti_bin_Low (10-20), int_rate_bin_Very Low (<8%)",grade_A,0.073,0.999,5.216
445,"installment_bin_Medium, term_ 36 months, int_rate_bin_Very Low (<8%)",grade_A,0.055,0.999,5.216
51,"term_ 36 months, int_rate_bin_Very Low (<8%)",grade_A,0.16,0.999,5.216
391,"term_ 36 months, loan_status_Fully Paid, int_rate_bin_Very Low (<8%)",grade_A,0.085,0.999,5.215
233,"grade_C, sub_grade_C2",int_rate_bin_Medium (12-16%),0.058,0.999,3.411
237,sub_grade_C2,"grade_C, int_rate_bin_Medium (12-16%)",0.058,0.999,4.026
41,sub_grade_C2,int_rate_bin_Medium (12-16%),0.058,0.999,3.411
555,"loan_status_Fully Paid, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",grade_A,0.051,0.999,5.214
437,"term_ 36 months, int_rate_bin_Very Low (<8%), installment_bin_Low",grade_A,0.056,0.999,5.214
43,sub_grade_C3,int_rate_bin_Medium (12-16%),0.057,0.999,3.411
243,sub_grade_C3,"grade_C, int_rate_bin_Medium (12-16%)",0.057,0.999,4.026
239,"grade_C, sub_grade_C3",int_rate_bin_Medium (12-16%),0.057,0.999,3.411
73,"home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",grade_A,0.095,0.999,5.213
99,"installment_bin_High, int_rate_bin_Very Low (<8%)",grade_A,0.053,0.999,5.213
61,"dti_bin_Low (10-20), int_rate_bin_Very Low (<8%)",grade_A,0.077,0.999,5.213
65,"loan_status_Current, int_rate_bin_Very Low (<8%)",grade_A,0.076,0.998,5.213
407,"term_ 36 months, home_ownership_RENT, int_rate_bin_Very Low (<8%)",grade_A,0.052,0.998,5.212
1,int_rate_bin_Very Low (<8%),grade_A,0.169,0.998,5.212
95,"installment_bin_Medium, int_rate_bin_Very Low (<8%)",grade_A,0.058,0.998,5.212
69,"loan_status_Fully Paid, int_rate_bin_Very Low (<8%)",grade_A,0.087,0.998,5.212
90,"installment_bin_Low, int_rate_bin_Very Low (<8%)",grade_A,0.058,0.998,5.211
77,"home_ownership_RENT, int_rate_bin_Very Low (<8%)",grade_A,0.054,0.998,5.208
369,"fico_range_low_bin_Low, loan_status_Charged Off",last_fico_range_low_bin_Low,0.061,0.979,2.779
395,"loan_status_Fully Paid, int_rate_bin_Very Low (<8%)","term_ 36 months, grade_A",0.085,0.977,5.398
1016,"last_fico_range_low_bin_High, loan_status_Fully Paid, int_rate_bin_Very Low (<8%)","term_ 36 months, grade_A",0.055,0.974,5.38
365,"home_ownership_RENT, loan_status_Charged Off",last_fico_range_low_bin_Low,0.053,0.973,2.763
1038,"fico_range_low_bin_High, loan_status_Fully Paid, int_rate_bin_Very Low (<8%)","term_ 36 months, grade_A",0.058,0.973,5.374
411,"home_ownership_RENT, int_rate_bin_Very Low (<8%)","term_ 36 months, grade_A",0.052,0.969,5.352
49,loan_status_Charged Off,last_fico_range_low_bin_Low,0.115,0.964,2.739
441,"int_rate_bin_Very Low (<8%), installment_bin_Low","term_ 36 months, grade_A",0.056,0.964,5.328
335,"term_ 36 months, loan_status_Charged Off",last_fico_range_low_bin_Low,0.069,0.962,2.733
53,int_rate_bin_Very Low (<8%),"term_ 36 months, grade_A",0.16,0.949,5.244
455,"installment_bin_High, int_rate_bin_Very Low (<8%)","term_ 36 months, grade_A",0.05,0.949,5.241
646,"term_ 36 months, grade_B, loan_status_Current",int_rate_bin_Low (8-12%),0.077,0.947,3.22
379,"dti_bin_Low (10-20), int_rate_bin_Very Low (<8%)","term_ 36 months, grade_A",0.073,0.946,5.226
418,"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","term_ 36 months, grade_A",0.101,0.941,5.201
431,"fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","term_ 36 months, grade_A",0.111,0.941,5.198
767,"grade_B, home_ownership_MORTGAGE, loan_status_Current",int_rate_bin_Low (8-12%),0.054,0.938,3.191
174,"grade_B, loan_status_Current",int_rate_bin_Low (8-12%),0.109,0.937,3.187
403,"home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","term_ 36 months, grade_A",0.089,0.937,5.176
1110,"last_fico_range_low_bin_High, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","term_ 36 months, grade_A",0.081,0.936,5.17
447,"installment_bin_Medium, int_rate_bin_Very Low (<8%)","term_ 36 months, grade_A",0.055,0.934,5.163
718,"term_ 36 months, fico_range_low_bin_High, grade_B",int_rate_bin_Low (8-12%),0.059,0.931,3.165
702,"term_ 36 months, fico_range_low_bin_Low, int_rate_bin_Low (8-12%)",grade_B,0.086,0.93,3.167
142,"grade_B, sub_grade_B3",int_rate_bin_Low (8-12%),0.054,0.928,3.157
146,sub_grade_B3,"grade_B, int_rate_bin_Low (8-12%)",0.054,0.928,3.525
34,sub_grade_B3,int_rate_bin_Low (8-12%),0.054,0.928,3.157
814,"last_fico_range_low_bin_High, fico_range_low_bin_High, grade_B",int_rate_bin_Low (8-12%),0.052,0.928,3.156
1061,"last_fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","term_ 36 months, grade_A",0.058,0.928,5.126
1084,"fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","term_ 36 months, grade_A",0.064,0.927,5.123
159,"term_ 60 months, int_rate_bin_Low (8-12%)",grade_B,0.051,0.926,3.154
202,"fico_range_low_bin_Low, int_rate_bin_Low (8-12%)",grade_B,0.091,0.925,3.151
210,"fico_range_low_bin_High, grade_B",int_rate_bin_Low (8-12%),0.092,0.921,3.133
806,"fico_range_low_bin_High, grade_B, home_ownership_MORTGAGE",int_rate_bin_Low (8-12%),0.05,0.92,3.13
1102,"last_fico_range_low_bin_High, term_ 36 months, fico_range_low_bin_High, grade_A",int_rate_bin_Very Low (<8%),0.081,0.919,5.435
387,"loan_status_Current, int_rate_bin_Very Low (<8%)","term_ 36 months, grade_A",0.07,0.917,5.067
1154,"last_fico_range_low_bin_High, fico_range_low_bin_High, home_ownership_MORTGAGE, grade_A",int_rate_bin_Very Low (<8%),0.051,0.916,5.42
1077,"term_ 36 months, fico_range_low_bin_High, home_ownership_MORTGAGE, grade_A",int_rate_bin_Very Low (<8%),0.064,0.916,5.417
1054,"last_fico_range_low_bin_High, term_ 36 months, home_ownership_MORTGAGE, grade_A",int_rate_bin_Very Low (<8%),0.058,0.915,5.413
191,"last_fico_range_low_bin_Low, int_rate_bin_Low (8-12%)",grade_B,0.075,0.913,3.111
261,"int_rate_bin_Medium (12-16%), loan_status_Current",grade_C,0.093,0.913,3.175
679,"last_fico_range_low_bin_Low, term_ 36 months, int_rate_bin_Low (8-12%)",grade_B,0.066,0.913,3.11
1031,"term_ 36 months, fico_range_low_bin_High, loan_status_Fully Paid, grade_A",int_rate_bin_Very Low (<8%),0.058,0.912,5.394
604,"last_fico_range_low_bin_High, fico_range_low_bin_High, grade_A",int_rate_bin_Very Low (<8%),0.087,0.912,5.392
798,"last_fico_range_low_bin_High, grade_B, home_ownership_MORTGAGE",int_rate_bin_Low (8-12%),0.052,0.911,3.098
1010,"last_fico_range_low_bin_High, term_ 36 months, loan_status_Fully Paid, grade_A",int_rate_bin_Very Low (<8%),0.055,0.909,5.377
214,"grade_B, installment_bin_Low",int_rate_bin_Low (8-12%),0.099,0.909,3.092
726,"term_ 36 months, grade_B, installment_bin_Low",int_rate_bin_Low (8-12%),0.089,0.909,3.09
424,"term_ 36 months, fico_range_low_bin_High, grade_A",int_rate_bin_Very Low (<8%),0.111,0.908,5.37
198,"last_fico_range_low_bin_High, grade_B",int_rate_bin_Low (8-12%),0.099,0.908,3.087
414,"last_fico_range_low_bin_High, term_ 36 months, grade_A",int_rate_bin_Very Low (<8%),0.101,0.907,5.366
