antecedents,consequents,support,confidence,lift
"fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, grade_A, home_ownership_MORTGAGE",0.051,0.434,6.314
"last_fico_range_low_bin_High, grade_A, home_ownership_MORTGAGE","fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.051,0.748,6.314
"grade_A, home_ownership_MORTGAGE, fico_range_low_bin_High","last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.051,0.678,6.289
"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","grade_A, home_ownership_MORTGAGE, fico_range_low_bin_High",0.051,0.478,6.289
"grade_A, fico_range_low_bin_High","last_fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.051,0.392,6.287
"last_fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","grade_A, fico_range_low_bin_High",0.051,0.826,6.287
"fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, grade_A",0.051,0.746,6.241
"last_fico_range_low_bin_High, grade_A","fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.051,0.43,6.241
"term_ 36 months, fico_range_low_bin_High, grade_A","last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.081,0.663,6.155
"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","term_ 36 months, fico_range_low_bin_High, grade_A",0.081,0.756,6.155
"last_fico_range_low_bin_High, term_ 36 months, grade_A","fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.081,0.728,6.147
"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","grade_A, fico_range_low_bin_High",0.087,0.807,6.147
"grade_A, fico_range_low_bin_High","last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.087,0.662,6.147
"fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, term_ 36 months, grade_A",0.081,0.687,6.147
"last_fico_range_low_bin_High, grade_A","fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.087,0.727,6.136
"fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, grade_A",0.087,0.734,6.136
"grade_A, fico_range_low_bin_High","last_fico_range_low_bin_High, term_ 36 months, int_rate_bin_Very Low (<8%)",0.081,0.62,6.111
"last_fico_range_low_bin_High, grade_A","term_ 36 months, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.081,0.681,6.104
"last_fico_range_low_bin_High, term_ 36 months, grade_A","int_rate_bin_Very Low (<8%), loan_status_Fully Paid",0.055,0.495,5.701
"int_rate_bin_Very Low (<8%), loan_status_Fully Paid","last_fico_range_low_bin_High, term_ 36 months, grade_A",0.055,0.637,5.701
"home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, grade_A, fico_range_low_bin_High",0.051,0.539,5.651
"last_fico_range_low_bin_High, grade_A, fico_range_low_bin_High","home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.051,0.54,5.651
"last_fico_range_low_bin_High, term_ 36 months, int_rate_bin_Very Low (<8%)","grade_A, loan_status_Fully Paid",0.055,0.545,5.582
"grade_A, loan_status_Fully Paid","last_fico_range_low_bin_High, term_ 36 months, int_rate_bin_Very Low (<8%)",0.055,0.566,5.582
